decision_step,episode_id,action,reward,done,obs_json,next_obs_json
32,1,1,-0.59779571890831,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.6228634194703773e-05, 0.0, 0.41499999165534973, 1.0]","[0.05000000074505806, 0.04576871171593666, 0.010256344452500343, 0.020651809871196747, 0.0, 0.10001038759946823, 0.0, 0.4483333230018616, 1.0]"
33,1,0,-3.7348601877689362,False,"[0.05000000074505806, 0.04576871171593666, 0.010256344452500343, 0.020651809871196747, 0.0, 0.10001038759946823, 0.0, 0.4483333230018616, 1.0]","[0.0, 0.025000842288136482, 0.0344705656170845, 0.0626010000705719, 0.0, 0.3240066468715668, 0.0, 0.4816666543483734, 0.0]"
34,1,0,-5.351530323548923,False,"[0.0, 0.025000842288136482, 0.0344705656170845, 0.0626010000705719, 0.0, 0.3240066468715668, 0.0, 0.4816666543483734, 0.0]","[0.3499999940395355, 0.26986104249954224, 0.029301293194293976, 0.10487700253725052, 0.0, 0.7873642444610596, 0.0, 0.5149999856948853, 0.0]"
35,1,0,-9.654851624573464,False,"[0.3499999940395355, 0.26986104249954224, 0.029301293194293976, 0.10487700253725052, 0.0, 0.7873642444610596, 0.0, 0.5149999856948853, 0.0]","[0.0, 0.11635886877775192, 0.12276089936494827, 0.1477629691362381, 0.0, 0.8239130973815918, 0.0, 0.011666666716337204, 0.0]"
36,1,0,-13.600916588306427,False,"[0.0, 0.11635886877775192, 0.12276089936494827, 0.1477629691362381, 0.0, 0.8239130973815918, 0.0, 0.011666666716337204, 0.0]","[0.0, 0.00010994372132699937, 0.1321112960577011, 0.18834061920642853, 0.0, 0.6073043942451477, 0.0, 0.04500000178813934, 0.0]"
37,1,0,-18.47678815126419,False,"[0.0, 0.00010994372132699937, 0.1321112960577011, 0.18834061920642853, 0.0, 0.6073043942451477, 0.0, 0.04500000178813934, 0.0]","[0.0, 8.77265833310048e-08, 0.17303979396820068, 0.2292691171169281, 0.0, 0.3886748254299164, 0.0, 0.07833333313465118, 0.0]"
38,1,1,-17.38182812035084,False,"[0.0, 8.77265833310048e-08, 0.17303979396820068, 0.2292691171169281, 0.0, 0.3886748254299164, 0.0, 0.07833333313465118, 0.0]","[0.05000000074505806, 0.043140001595020294, 0.044215716421604156, 0.12008757889270782, 0.0, 0.24875187873840332, 0.0, 0.11166666448116302, 1.0]"
39,1,1,-5.799659994935231,False,"[0.05000000074505806, 0.043140001595020294, 0.044215716421604156, 0.12008757889270782, 0.0, 0.24875187873840332, 0.0, 0.11166666448116302, 1.0]","[0.15000000596046448, 0.14770574867725372, 0.04548684135079384, 0.16720251739025116, 0.0, 0.699201226234436, 0.0, 0.14499999582767487, 1.0]"
40,1,1,-12.308087357623238,False,"[0.15000000596046448, 0.14770574867725372, 0.04548684135079384, 0.16720251739025116, 0.0, 0.699201226234436, 0.0, 0.14499999582767487, 1.0]","[0.0, 0.028434069827198982, 0.2115241140127182, 0.2115241140127182, 0.0, 0.607488751411438, 0.0, 0.011666666716337204, 1.0]"
41,1,1,-15.004236721992493,False,"[0.0, 0.028434069827198982, 0.2115241140127182, 0.2115241140127182, 0.0, 0.607488751411438, 0.0, 0.011666666716337204, 1.0]","[0.0, 2.268818934680894e-05, 0.0, 0.0, 0.0, 0.38879281282424927, 0.0, 0.04500000178813934, 1.0]"
42,1,1,-0.0,False,"[0.0, 2.268818934680894e-05, 0.0, 0.0, 0.0, 0.38879281282424927, 0.0, 0.04500000178813934, 1.0]","[0.0, 1.810341920815972e-08, 0.0, 0.0, 0.0, 0.24882739782333374, 0.0, 0.02666666731238365, 1.0]"
43,1,1,-0.0,False,"[0.0, 1.810341920815972e-08, 0.0, 0.0, 0.0, 0.24882739782333374, 0.0, 0.02666666731238365, 1.0]","[0.0, 1.4445129120632672e-11, 0.0, 0.0, 0.0, 0.15924952924251556, 0.0, 0.05999999865889549, 1.0]"
44,1,1,-0.0,False,"[0.0, 1.4445129120632672e-11, 0.0, 0.0, 0.0, 0.15924952924251556, 0.0, 0.05999999865889549, 1.0]","[0.0, 1.1526095697452984e-14, 0.0, 0.0, 0.0, 0.10191970318555832, 0.0, 0.09333333373069763, 1.0]"
45,1,1,-0.0,False,"[0.0, 1.1526095697452984e-14, 0.0, 0.0, 0.0, 0.10191970318555832, 0.0, 0.09333333373069763, 1.0]","[0.0, 9.196933194415708e-18, 0.0, 0.0, 0.0, 0.06522861123085022, 0.0, 0.12666666507720947, 1.0]"
